hour,usertype,count
0,Customer,4721
0,Subscriber,42995
1,Customer,2945
1,Subscriber,23403
2,Customer,1800
2,Subscriber,13308
3,Customer,1114
3,Subscriber,8200
4,Customer,709
4,Subscriber,8394
5,Customer,727
5,Subscriber,31404
6,Customer,1744
6,Subscriber,112656
7,Customer,4196
7,Subscriber,235557
8,Customer,9905
8,Subscriber,410698
9,Customer,17771
9,Subscriber,313085
10,Customer,28448
10,Subscriber,202578
11,Customer,38818
11,Subscriber,200744
12,Customer,45024
12,Subscriber,233830
13,Customer,49189
13,Subscriber,244699
14,Customer,52346
14,Subscriber,253242
15,Customer,53779
15,Subscriber,269681
16,Customer,52587
16,Subscriber,326220
17,Customer,47016
17,Subscriber,475964
18,Customer,36955
18,Subscriber,455067
19,Customer,26389
19,Subscriber,311002
20,Customer,19367
20,Subscriber,211760
21,Customer,13591
21,Subscriber,148387
22,Customer,11306
22,Subscriber,112349
23,Customer,7436
23,Subscriber,72581
